4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/DataSaveUtil.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/IExpenseLog.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/IMoneyService.cs
6	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/InventoryService.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/MenuValidator.cs
3	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/RandomGeneral.cs
5	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/RandomNormal.cs
1	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/SceneNames.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Common/UILockManager.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Cooking/SliceScorer.cs
1	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Cooking/Tags.cs
3	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Garden/CropCatalogService.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Garden/FarmUpgradeData.cs
5	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Garden/FarmUpgradeService.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Mall/DeliveryQuestService.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Mall/OrderService.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Mall/QuestMenuCatalog.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Shop/PurchaseService.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Shop/StorageUpgradeData.cs
5	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Shop/StorageUpgradeService.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Shop/ToolUpgradeData.cs
5	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Domain/Shop/ToolUpgradeService.cs
4	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Schema/Catalog/CatalogSO.cs
2	/Users/hogun/UnityProjects/My project/unity-project/Assets/Scripts/Schema/Catalog/CookingToolCatalogSO.cs
