TextMesh Pro/Documentation/TextMesh Pro User Guide 2016	1b8d251f9af63b746bf2f7ffe00ebb9b	TextMesh Pro/Documentation/TextMesh Pro User Guide 2016.pdf	0	0	1	USED
TextMesh Pro/Resources/TMP Settings	3f5b5dff67a942289a9defa416b206f3	TextMesh Pro/Resources/TMP Settings.asset	0	0	1	USED
TextMesh Pro/Resources/Sprite Assets/EmojiOne	c41005c129ba4d66911b75229fd70b45	TextMesh Pro/Resources/Sprite Assets/EmojiOne.asset	0	0	1	USED
TextMesh Pro/Resources/Style Sheets/Default Style Sheet	f952c082cb03451daed3ee968ac6c63e	TextMesh Pro/Resources/Style Sheets/Default Style Sheet.asset	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/SUIT-Variable SDF	0aee1aaadb3ec4e43954a19127e8fd42	TextMesh Pro/Resources/Fonts & Materials/SUIT-Variable SDF.asset	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Fallback	2e498d1c8094910479dc3e1b768306a4	TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Fallback.asset	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/LICENSE	85eb1558de28b4b7a86fbf1bba318993	TextMesh Pro/Resources/Fonts & Materials/LICENSE	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Drop Shadow	e73a58f6e2794ae7b1b7e50b7fb811b0	TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Drop Shadow.mat	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/SUIT-Variable	f1aebbc5ffedb4dba8810265c0d7cac7	TextMesh Pro/Resources/Fonts & Materials/SUIT-Variable.ttf	0	0	1	USED
TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF	8f586378b4e144a9851e7b34d9b748ee	TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF.asset	0	0	1	USED
